SN,thickness,defect,band_gap,electron_affinity,doping,pce
1,0.7,10000000000000,1.41,3.555,1000000000000000,20.1292728
2,0.7,10000000000000,1.41,3.555,1E+016,20.2300126
3,0.7,10000000000000,1.41,3.555,1E+017,20.2786026
4,0.7,10000000000000,1.41,3.555,1E+018,20.4586816
5,0.7,10000000000000,1.41,3.655,1000000000000000,22.8840414
6,0.7,10000000000000,1.41,3.655,1E+016,22.9896065
7,0.7,10000000000000,1.41,3.655,1E+017,23.019564
8,0.7,10000000000000,1.41,3.655,1E+018,22.9943189
9,0.7,10000000000000,1.41,3.755,1000000000000000,24.2803954
10,0.7,10000000000000,1.41,3.755,1E+016,24.2491105
11,0.7,10000000000000,1.41,3.755,1E+017,23.4927126
12,0.7,10000000000000,1.41,3.755,1E+018,21.1850176
13,0.7,10000000000000,1.41,3.855,1000000000000000,21.5563285
14,0.7,10000000000000,1.41,3.855,1E+016,20.145708
15,0.7,10000000000000,1.41,3.855,1E+017,19.0892463
16,0.7,10000000000000,1.41,3.855,1E+018,19.9718093
17,0.7,10000000000000,1.41,3.955,1000000000000000,18.671644
18,0.7,10000000000000,1.41,3.955,1E+016,18.0370862
19,0.7,10000000000000,1.41,3.955,1E+017,18.7687719
20,0.7,10000000000000,1.41,3.955,1E+018,20.0075568
21,0.7,10000000000000,1.51,3.555,1000000000000000,20.210783
22,0.7,10000000000000,1.51,3.555,1E+016,20.2971535
23,0.7,10000000000000,1.51,3.555,1E+017,20.3232199
24,0.7,10000000000000,1.51,3.555,1E+018,20.3149529
25,0.7,10000000000000,1.51,3.655,1000000000000000,21.8993619
26,0.7,10000000000000,1.51,3.655,1E+016,21.865752
27,0.7,10000000000000,1.51,3.655,1E+017,21.1590637
28,0.7,10000000000000,1.51,3.655,1E+018,18.9610753
29,0.7,10000000000000,1.51,3.755,1000000000000000,19.7201441
30,0.7,10000000000000,1.51,3.755,1E+016,18.5380033
31,0.7,10000000000000,1.51,3.755,1E+017,17.9962842
32,0.7,10000000000000,1.51,3.755,1E+018,18.9158684
33,0.7,10000000000000,1.51,3.855,1000000000000000,17.2486285
34,0.7,10000000000000,1.51,3.855,1E+016,17.0438341
35,0.7,10000000000000,1.51,3.855,1E+017,18.2326695
36,0.7,10000000000000,1.51,3.855,1E+018,19.5280606
37,0.7,10000000000000,1.51,3.955,1000000000000000,17.0696958
38,0.7,10000000000000,1.51,3.955,1E+016,17.5859396
39,0.7,10000000000000,1.51,3.955,1E+017,18.4666838
40,0.7,10000000000000,1.51,3.955,1E+018,19.6239343
41,0.7,10000000000000,1.61,3.555,1000000000000000,19.2866338
42,0.7,10000000000000,1.61,3.555,1E+016,19.2538093
43,0.7,10000000000000,1.61,3.555,1E+017,18.6189844
44,0.7,10000000000000,1.61,3.555,1E+018,16.6484647
45,0.7,10000000000000,1.61,3.655,1000000000000000,17.4544511
46,0.7,10000000000000,1.61,3.655,1E+016,16.4103918
47,0.7,10000000000000,1.61,3.655,1E+017,16.0220776
48,0.7,10000000000000,1.61,3.655,1E+018,16.8042207
49,0.7,10000000000000,1.61,3.755,1000000000000000,15.2581308
50,0.7,10000000000000,1.61,3.755,1E+016,15.2780891
51,0.7,10000000000000,1.61,3.755,1E+017,16.9430311
52,0.7,10000000000000,1.61,3.755,1E+018,18.2515891
53,0.7,10000000000000,1.61,3.855,1000000000000000,15.4261996
54,0.7,10000000000000,1.61,3.855,1E+016,16.336608
55,0.7,10000000000000,1.61,3.855,1E+017,17.661258
56,0.7,10000000000000,1.61,3.855,1E+018,18.870269
57,0.7,10000000000000,1.61,3.955,1000000000000000,15.9081319
58,0.7,10000000000000,1.61,3.955,1E+016,16.9527195
59,0.7,10000000000000,1.61,3.955,1E+017,17.874812
60,0.7,10000000000000,1.61,3.955,1E+018,18.9441651
61,0.7,100000000000000,1.41,3.555,1000000000000000,19.3264647
62,0.7,100000000000000,1.41,3.555,1E+016,20.0427949
63,0.7,100000000000000,1.41,3.555,1E+017,20.2446631
64,0.7,100000000000000,1.41,3.555,1E+018,20.4430998
65,0.7,100000000000000,1.41,3.655,1000000000000000,22.0499489
66,0.7,100000000000000,1.41,3.655,1E+016,22.7941131
67,0.7,100000000000000,1.41,3.655,1E+017,22.9832659
68,0.7,100000000000000,1.41,3.655,1E+018,22.9778993
69,0.7,100000000000000,1.41,3.755,1000000000000000,23.7477552
70,0.7,100000000000000,1.41,3.755,1E+016,24.1352031
71,0.7,100000000000000,1.41,3.755,1E+017,23.4702432
72,0.7,100000000000000,1.41,3.755,1E+018,21.1784087
73,0.7,100000000000000,1.41,3.855,1000000000000000,21.5245467
74,0.7,100000000000000,1.41,3.855,1E+016,20.1366062
75,0.7,100000000000000,1.41,3.855,1E+017,19.0850141
76,0.7,100000000000000,1.41,3.855,1E+018,19.967918
77,0.7,100000000000000,1.41,3.955,1000000000000000,18.6673069
78,0.7,100000000000000,1.41,3.955,1E+016,18.0343639
79,0.7,100000000000000,1.41,3.955,1E+017,18.7654897
80,0.7,100000000000000,1.41,3.955,1E+018,20.0037684
81,0.7,100000000000000,1.51,3.555,1000000000000000,19.5245628
82,0.7,100000000000000,1.51,3.555,1E+016,20.1435625
83,0.7,100000000000000,1.51,3.555,1E+017,20.2935667
84,0.7,100000000000000,1.51,3.555,1E+018,20.3006076
85,0.7,100000000000000,1.51,3.655,1000000000000000,21.4245925
86,0.7,100000000000000,1.51,3.655,1E+016,21.7690151
87,0.7,100000000000000,1.51,3.655,1E+017,21.1398087
88,0.7,100000000000000,1.51,3.655,1E+018,18.9553923
89,0.7,100000000000000,1.51,3.755,1000000000000000,19.684069
90,0.7,100000000000000,1.51,3.755,1E+016,18.5282832
91,0.7,100000000000000,1.51,3.755,1E+017,17.9920663
92,0.7,100000000000000,1.51,3.755,1E+018,18.9123484
93,0.7,100000000000000,1.51,3.855,1000000000000000,17.2457846
94,0.7,100000000000000,1.51,3.855,1E+016,17.0411932
95,0.7,100000000000000,1.51,3.855,1E+017,18.229389
96,0.7,100000000000000,1.51,3.855,1E+018,19.5244025
97,0.7,100000000000000,1.51,3.955,1000000000000000,17.0673234
98,0.7,100000000000000,1.51,3.955,1E+016,17.5837154
99,0.7,100000000000000,1.51,3.955,1E+017,18.4636085
100,0.7,100000000000000,1.51,3.955,1E+018,19.6202999
101,0.7,100000000000000,1.61,3.555,1000000000000000,18.8847192
102,0.7,100000000000000,1.61,3.555,1E+016,19.1730757
103,0.7,100000000000000,1.61,3.555,1E+017,18.6024846
104,0.7,100000000000000,1.61,3.555,1E+018,16.6434998
105,0.7,100000000000000,1.61,3.655,1000000000000000,17.4215891
106,0.7,100000000000000,1.61,3.655,1E+016,16.4015596
107,0.7,100000000000000,1.61,3.655,1E+017,16.0182446
108,0.7,100000000000000,1.61,3.655,1E+018,16.8011874
109,0.7,100000000000000,1.61,3.755,1000000000000000,15.2556006
110,0.7,100000000000000,1.61,3.755,1E+016,15.2755076
111,0.7,100000000000000,1.61,3.755,1E+017,16.9398298
112,0.7,100000000000000,1.61,3.755,1E+018,18.2483242
113,0.7,100000000000000,1.61,3.855,1000000000000000,15.4251077
114,0.7,100000000000000,1.61,3.855,1E+016,16.3345262
115,0.7,100000000000000,1.61,3.855,1E+017,17.6582291
116,0.7,100000000000000,1.61,3.855,1E+018,18.8668073
117,0.7,100000000000000,1.61,3.955,1000000000000000,15.9062828
118,0.7,100000000000000,1.61,3.955,1E+016,16.9507802
119,0.7,100000000000000,1.61,3.955,1E+017,17.8719522
120,0.7,100000000000000,1.61,3.955,1E+018,18.9407282
121,0.7,1000000000000000,1.41,3.555,1000000000000000,16.4798499
122,0.7,1000000000000000,1.41,3.555,1E+016,18.8036146
123,0.7,1000000000000000,1.41,3.555,1E+017,19.9258774
124,0.7,1000000000000000,1.41,3.555,1E+018,20.2899362
125,0.7,1000000000000000,1.41,3.655,1000000000000000,19.1574118
126,0.7,1000000000000000,1.41,3.655,1E+016,21.5162125
127,0.7,1000000000000000,1.41,3.655,1E+017,22.6428302
128,0.7,1000000000000000,1.41,3.655,1E+018,22.8163726
129,0.7,1000000000000000,1.41,3.755,1000000000000000,21.556581
130,0.7,1000000000000000,1.41,3.755,1E+016,23.2898032
131,0.7,1000000000000000,1.41,3.755,1E+017,23.2538661
132,0.7,1000000000000000,1.41,3.755,1E+018,21.1128132
133,0.7,1000000000000000,1.41,3.855,1000000000000000,21.2329274
134,0.7,1000000000000000,1.41,3.855,1E+016,20.047046
135,0.7,1000000000000000,1.41,3.855,1E+017,19.042928
136,0.7,1000000000000000,1.41,3.855,1E+018,19.9291805
